consultancy_name,pay_rate,contact_number,contract,contract_length,training_fee,relocation,status,technology_requirement
Exa Data Solutions,65000,908-982-4007,Yes,6 months,0,No,In call,"Salesforce, Python, Java"
S Concepts,65000,,No,,300,No,In Call,Java
Loggin In,65000,209-896-8715,No,,500,No,In Call,Python
